Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,30.0,0,0.0,16,597.6,0.0,0.0125,0.0,0.0,Mar,1,1,3,2,Returning_Visitor,0,0
0,0.0,0,0.0,7,193.3333333,0.028571429,0.057142857,0.0,0.0,May,2,4,3,3,Returning_Visitor,0,0
6,77.33333333,1,52.33333333,6,126.6666667,0.0,0.016666667,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,0,0
0,0.0,0,0.0,80,801.802381,0.0,0.0035,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,0,0
4,251.0,9,172.0,64,4326.666667,0.008552632,0.024502924,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,0,0
1,16.25,0,0.0,34,456.525,0.006060606,0.03030303,0.0,0.0,Nov,1,1,4,1,Returning_Visitor,1,0
1,153.5,0,0.0,20,1002.847222,0.0,0.00952381,41.13433129,0.0,Nov,2,2,4,2,Returning_Visitor,0,0
0,0.0,0,0.0,13,324.0,0.0,0.003030303,0.0,0.0,May,2,2,2,2,New_Visitor,1,0
4,226.6,2,7.0,33,849.7444444,0.021929825,0.042105263,0.0,0.0,Sep,3,2,1,13,Returning_Visitor,1,0
2,14.0,2,189.0,134,6732.124414,0.008018648,0.025030224,0.0,0.0,Nov,1,8,3,11,Returning_Visitor,0,0
3,86.95,6,173.2,17,481.31,0.0,0.0,27.69500776,0.0,Nov,2,2,9,20,New_Visitor,0,1
0,0.0,1,172.0,21,564.5,0.0,0.042965368,0.0,0.8,May,3,3,2,1,Returning_Visitor,0,0
3,314.5,0,0.0,22,2837.166667,0.0,0.008333333,0.0,0.0,May,2,4,2,2,New_Visitor,0,0
0,0.0,6,129.125,47,1117.642857,0.00754717,0.019339623,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,0,0
5,188.0,0,0.0,22,352.8,0.0,0.008,0.0,0.2,May,2,2,3,2,New_Visitor,0,0
1,7.125,6,1043.928571,73,3585.177579,0.008175105,0.024451608,0.0,0.0,Nov,3,2,5,2,Returning_Visitor,0,0
5,100.9166667,0,0.0,114,3488.070803,8.14e-05,0.022685492,5.698711043,0.0,Nov,2,2,3,2,Returning_Visitor,0,0
0,0.0,0,0.0,22,1664.0,0.03030303,0.032424242,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,0,1
7,52.4,3,202.5,55,1995.466667,0.003333333,0.025396825,1.8315,0.0,May,2,2,6,13,Returning_Visitor,0,0
6,55.0,1,7.0,132,4056.175369,0.005882353,0.019282953,0.0,0.0,Mar,2,2,8,2,Returning_Visitor,0,0
0,0.0,0,0.0,2,22.0,0.0,0.1,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,0,0
2,32.0,0,0.0,7,164.5,0.0,0.008333333,0.0,0.4,May,2,2,1,4,Returning_Visitor,0,0
1,21.5,2,323.0,14,836.8333333,0.0,0.001904762,0.0,0.0,May,2,2,8,2,New_Visitor,0,0
4,292.1904762,1,194.5,56,1948.713745,0.001724138,0.021055381,14.69293103,0.0,May,1,2,3,2,Returning_Visitor,0,1
1,4.0,0,0.0,26,242.1095238,0.0,0.004273504,0.0,0.0,June,4,1,2,1,Returning_Visitor,0,0
0,0.0,0,0.0,12,554.5,0.0,0.018181818,49.62545455,0.0,May,2,4,5,2,New_Visitor,0,1
6,276.0,0,0.0,24,1021.2,0.014285714,0.022619048,82.4326349,0.0,Dec,1,1,3,1,Returning_Visitor,1,0
5,36.33333333,3,53.0,22,406.0,0.002564103,0.013461538,0.0,0.0,Mar,4,1,1,1,Returning_Visitor,0,0
9,443.2916667,1,0.0,74,3615.889239,0.007028112,0.016930138,1.119759036,0.8,May,2,2,3,1,Returning_Visitor,0,0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,June,1,1,3,2,Returning_Visitor,0,0
9,249.5,0,0.0,66,2506.333333,0.015277778,0.041369048,13.99708333,0.0,May,2,2,6,6,Returning_Visitor,0,1
0,0.0,0,0.0,2,29.0,0.0,0.05,0.0,0.0,Nov,1,1,3,3,Returning_Visitor,0,0
0,0.0,0,0.0,4,14.2,0.1,0.15,0.0,0.0,Oct,1,1,1,1,Returning_Visitor,1,0
1,3.0,1,302.0,7,539.5,0.0,0.0125,0.0,0.0,Dec,2,2,4,2,Other,1,0
0,0.0,0,0.0,11,109.5,0.0,0.022222222,0.0,0.0,Dec,4,1,1,8,New_Visitor,0,0
7,66.0,0,0.0,6,146.5,0.0,0.018181818,0.0,0.0,Nov,2,4,1,2,New_Visitor,0,0
4,135.6666667,0,0.0,28,615.8166667,0.007407407,0.016049383,0.0,0.0,May,1,1,1,4,Returning_Visitor,0,0
0,0.0,0,0.0,27,1224.541667,0.0,0.024691358,0.0,0.0,Dec,4,2,1,2,New_Visitor,1,0
2,33.0,0,0.0,22,460.6666667,0.0,0.025,0.0,0.6,May,3,2,3,1,Returning_Visitor,0,0
0,0.0,0,0.0,2,42.0,0.05,0.15,0.0,0.4,Feb,2,2,1,4,Returning_Visitor,0,0
1,90.0,1,34.0,57,1092.364286,0.0,0.006321839,19.11506897,0.6,May,2,2,7,4,Returning_Visitor,0,1
6,113.0,0,0.0,18,359.4,0.008333333,0.05,0.0,0.0,Sep,2,2,3,1,Returning_Visitor,0,0
0,0.0,0,0.0,7,108.25,0.0,0.028571429,0.0,0.0,Dec,2,2,7,2,New_Visitor,1,0
9,181.275,2,65.0,120,3283.715359,0.004651163,0.024543027,2.442153455,0.0,Nov,1,2,1,2,Returning_Visitor,0,0
0,0.0,0,0.0,8,101.75,0.025,0.075,0.0,0.0,Nov,2,2,6,2,Returning_Visitor,0,0
0,0.0,0,0.0,11,382.25,0.018181818,0.063636364,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,0,0
0,0.0,0,0.0,4,253.0,0.0,0.016666667,0.0,0.6,Feb,2,2,3,3,Returning_Visitor,0,0
0,0.0,0,0.0,5,0.0,0.2,0.2,0.0,0.0,Jul,3,2,2,13,Returning_Visitor,1,0
1,13.0,0,0.0,28,611.94,0.0,0.006896552,0.0,0.0,Sep,3,2,1,1,Returning_Visitor,0,0
